Delfin,41.7205|2.93178,91,1556,41.7205,2.93178
Goizut,43.378|-1.79994,132,5213,43.378,-1.79994
Casa Donato,6.6347476|-73.2215032,23,6217,6.6347476,-73.2215032
Royal Crest Motel,45.019088|-84.677351,19,6486,45.019088,-84.677351
The Cosy Beach,7.4153|79.81627,54,7118,7.4153,79.81627
14S,25.98815|-80.11831,114,8534,25.98815,-80.11831
Saint Christophe,43.097655|-0.047931,20,10436,43.097655,-0.047931
Apartment Obratov,43.80633|15.63018,95,10527,43.80633,15.63018
Agriturismo Aqua Viva,42.9433|13.79914,113,12328,42.9433,13.79914
Bruno's Bothy,54.87627|-3.13392,112,13948,54.87627,-3.13392
Charm Hotel,37.5578|126.94383,76,14397,37.5578,126.94383
Astoria,15.597|73.78912,20,14849,15.597,73.78912
B&B Mermaid,44.66702|8.09331,88,15119,44.66702,8.09331
Estrella,39.5389|3.33,31,18139,39.5389,3.33
Lin La Bedin,50.26832|5.87377,38,19808,50.26832,5.87377
Rose Pension,37.863875|128.842957,38,22157,37.863875,128.842957
Grove Cottage Malton,54.17724|-0.76234,89,22516,54.17724,-0.76234
Villa Leila,39.46837|2.8819,51,23146,39.46837,2.8819
Hotel King,39.703116|21.631069,29,23694,39.703116,21.631069
Meridien Sky,43.5515|7.02211,85,24496,43.5515,7.02211
Monaco,44.2904|12.34619,56,27864,44.2904,12.34619
Sabina,39.71103|3.45291,123,29692,39.71103,3.45291
The Sarova Stanley,-1.283851|36.822837,112,34220,-1.283851,36.822837
Ocean Villa,30.17895|-85.81121,39,34416,30.17895,-85.81121
La Belle Meuniere,45.76525|3.05202,87,34577,45.76525,3.05202
Selva 246984,39.75496|2.89912,108,36921,39.75496,2.89912
Hotel Baeren,49.34901|8.68983,67,38358,49.34901,8.68983
Scialaba,39.845897|18.201564,44,38986,39.845897,18.201564
Hostal Anita,-6.22803|-77.87024,133,39610,-6.22803,-77.87024
Casacoo,50.39131|5.88193,88,41507,50.39131,5.88193
Certuner,36.743|-3.8836,25,42474,36.743,-3.8836
Mira 1,45.95365|8.59266,100,43249,45.95365,8.59266
Mino,52.26879|8.09747,72,43456,52.26879,8.09747
Villa Sosanna,36.76659|24.52284,37,47818,36.76659,24.52284
